"Monthly commercial disappearance of dry skim milk products, 1995–current (millions of pounds)",,,,,,,,,,,,,,Back to content page,,,
,,Supply,,,,,,,,,"USDA net removals, barters, and CCC donations 2",Commercial use,,,Ending manufacturers' stocks,,
,,Beginning manufacturers' stocks,,,Production,,,,Imports,Total supply,,,,,,,
,,"Nonfat dry milk 
(NDM)",Dry skim milk for animal use,Total,NDM,"Skim milk powder 
(SMP) 1",Dry skim milk for animal use,Total,,,,Domestic commercial disappearance,Commercial exports 3,Total commercial disappearance,NDM,Dry skim milk for animal use,Total 4
1995,Jan,103.5,1.6,105.1,113.8,,1.0,114.8,0.0,219.9,29.5,73.8,0.0,73.8,114.8,1.8,116.6
,Feb,114.8,1.8,116.6,98.2,,0.8,99.0,0.0,215.6,45.8,73.8,0.2,73.9,94.0,1.9,95.8
,Mar,94.0,1.9,95.8,118.6,,0.8,119.3,0.1,215.3,46.6,68.7,0.7,69.4,97.5,1.7,99.2
,Apr,97.5,1.7,99.2,124.9,,0.7,125.6,0.0,224.9,45.3,50.3,0.5,50.8,127.1,1.7,128.8
,May,127.1,1.7,128.8,137.0,,1.1,138.1,0.0,266.9,44.8,90.9,0.4,91.2,129.0,1.9,130.9
,Jun,129.0,1.9,130.9,127.9,,1.2,129.1,0.0,260.0,22.9,92.1,0.7,92.9,141.9,2.3,144.2
,Jul,141.9,2.3,144.2,107.4,,0.9,108.3,0.0,252.5,24.1,86.3,0.1,86.4,140.2,1.8,142.0
,Aug,140.2,1.8,142.0,82.3,,0.8,83.0,0.0,225.1,26.1,94.3,0.6,94.9,102.1,1.9,104.1
,Sep,102.1,1.9,104.1,71.9,,0.5,72.4,0.0,176.4,18.0,78.2,0.3,78.5,78.3,1.7,80.0
,Oct,78.3,1.7,80.0,75.6,,0.4,76.0,0.0,156.0,26.0,58.5,0.2,58.7,70.1,1.2,71.3
,Nov,70.1,1.2,71.3,72.6,,0.4,73.0,0.1,144.3,7.6,85.3,0.2,85.5,50.3,1.0,51.3
,Dec,50.3,1.0,51.3,102.9,,1.1,104.0,0.3,155.6,7.1,76.3,0.1,76.4,70.6,1.4,72.0
1996,Jan,70.6,1.4,72.0,97.4,,0.7,98.1,0.0,170.1,2.5,94.6,0.3,94.9,71.7,1.1,72.8
,Feb,71.7,1.1,72.8,93.1,,0.4,93.5,0.0,166.3,4.0,81.0,0.3,81.3,80.0,0.9,80.9
,Mar,80.0,0.9,80.9,105.4,,0.6,106.0,0.1,187.1,7.9,79.6,0.2,79.8,98.4,1.0,99.4
,Apr,98.4,1.0,99.4,116.8,,0.8,117.6,0.2,217.2,8.2,107.5,0.1,107.6,100.3,1.1,101.4
,May,100.3,1.1,101.4,114.4,,0.7,115.2,0.5,217.0,3.6,125.3,0.3,125.6,86.5,1.3,87.8
,Jun,86.5,1.3,87.8,94.3,,0.5,94.9,0.5,183.2,7.1,92.2,0.2,92.4,82.5,1.2,83.7
,Jul,82.5,1.2,83.7,78.8,,0.5,79.4,0.8,163.8,5.0,80.5,0.4,80.9,76.8,1.2,78.0
,Aug,76.8,1.2,78.0,61.4,,0.3,61.8,0.8,140.5,4.0,69.4,0.0,69.5,66.1,1.0,67.1
,Sep,66.1,1.0,67.1,56.0,,0.2,56.3,0.1,123.5,1.2,71.5,0.0,71.5,50.2,0.6,50.9
,Oct,50.2,0.6,50.9,65.7,,0.3,66.0,0.3,117.2,3.0,66.3,0.0,66.4,47.2,0.6,47.8
,Nov,47.2,0.6,47.8,76.7,,0.4,77.2,0.1,125.0,5.0,69.8,0.1,69.9,49.2,0.9,50.1
,Dec,49.2,0.9,50.1,101.5,,0.7,102.3,0.2,152.6,5.7,74.7,0.0,74.7,71.1,1.0,72.1
1997,Jan,71.1,1.0,72.1,100.9,,0.5,101.5,0.0,173.6,9.2,88.1,0.0,88.1,75.5,0.8,76.3
,Feb,75.5,0.8,76.3,93.0,,0.3,93.3,0.1,169.7,14.4,83.3,0.0,83.3,71.2,0.8,72.0
,Mar,71.2,0.8,72.0,114.1,,0.5,114.5,0.1,186.6,17.3,88.2,0.0,88.2,80.3,0.7,81.0
,Apr,80.3,0.7,81.0,127.7,,0.5,128.2,0.1,209.3,20.0,70.2,0.0,70.2,118.5,0.6,119.1
,May,118.5,0.6,119.1,132.7,,0.5,133.2,0.0,252.4,21.7,78.7,0.0,78.7,151.2,0.9,152.0
,Jun,151.2,0.9,152.0,120.1,,0.6,120.7,0.5,273.2,32.7,66.0,0.0,66.0,173.3,1.2,174.5
,Jul,173.3,1.2,174.5,111.7,,0.5,112.1,0.2,286.8,23.2,103.7,0.0,103.7,158.7,1.2,159.9
,Aug,158.7,1.2,159.9,90.2,,0.5,90.8,0.3,250.9,35.1,60.0,0.0,60.0,154.6,1.3,155.8
,Sep,154.6,1.3,155.8,77.4,,0.3,77.7,0.1,233.7,34.7,63.6,0.0,63.6,133.9,1.4,135.3
,Oct,133.9,1.4,135.3,72.6,,0.3,72.9,0.1,208.3,24.9,67.6,0.0,67.6,114.8,1.0,115.7
,Nov,114.8,1.0,115.7,75.2,,0.4,75.6,1.2,192.5,33.3,57.6,0.0,57.6,100.6,1.0,101.6
,Dec,100.6,1.0,101.6,102.0,,0.3,102.3,2.2,206.1,31.5,70.5,0.0,70.5,103.3,0.8,104.1
1998,Jan,103.3,0.8,104.1,104.8,,0.3,105.1,0.0,209.3,37.5,65.3,0.0,65.3,105.6,0.8,106.4
,Feb,105.6,0.8,106.4,98.4,,0.4,98.9,0.0,205.3,31.7,66.3,0.0,66.3,106.6,0.7,107.3
,Mar,106.6,0.7,107.3,106.7,,0.4,107.1,0.9,215.4,24.7,96.7,0.0,96.7,93.1,0.9,94.0
,Apr,93.1,0.9,94.0,119.7,,0.4,120.2,1.3,215.4,28.1,72.7,0.0,72.7,113.7,1.0,114.6
,May,113.7,1.0,114.6,119.7,,0.4,120.1,0.9,235.6,36.8,64.1,0.0,64.1,133.7,0.9,134.7
,Jun,133.7,0.9,134.7,99.4,,0.4,99.9,0.5,235.0,29.1,74.7,0.0,74.7,130.4,0.9,131.2
,Jul,130.4,0.9,131.2,85.7,,0.3,86.0,0.9,218.1,40.2,63.1,0.0,63.1,113.7,1.1,114.8
,Aug,113.7,1.1,114.8,78.8,,0.3,79.1,0.3,194.3,29.4,68.8,0.0,68.8,94.8,1.3,96.1
,Sep,94.8,1.3,96.1,62.3,,0.3,62.6,0.4,159.1,19.5,73.7,0.0,73.7,64.4,1.4,65.9
,Oct,64.4,1.4,65.9,75.0,,0.3,75.3,0.8,142.0,15.8,77.9,0.0,77.9,47.2,1.0,48.3
,Nov,47.2,1.0,48.3,73.9,,0.3,74.1,0.6,123.0,9.2,69.1,0.0,69.1,43.7,1.0,44.8
,Dec,43.7,1.0,44.8,110.9,,0.4,111.2,0.1,156.1,24.4,73.6,0.0,73.6,56.9,1.1,58.0
1999,Jan,56.9,1.1,58.0,121.7,,0.4,122.1,0.9,181.0,23.4,66.0,0.0,66.0,90.1,1.5,91.6
,Feb,90.1,1.5,91.6,113.9,,0.3,114.2,0.6,206.5,35.9,56.7,0.0,56.7,112.2,1.8,113.9
,Mar,112.2,1.8,113.9,126.6,,0.5,127.0,0.4,241.4,37.3,82.9,0.0,82.9,119.5,1.7,121.2
,Apr,119.5,1.7,121.2,132.8,,0.4,133.1,0.4,254.7,48.9,63.9,0.0,63.9,140.3,1.7,142.0
,May,140.3,1.7,142.0,136.7,,0.5,137.2,0.3,279.4,53.8,61.7,0.0,61.7,162.2,1.7,163.9
,Jun,162.2,1.7,163.9,119.2,,0.5,119.7,0.3,284.0,69.7,52.9,0.0,52.9,159.3,2.0,161.4
,Jul,159.3,2.0,161.4,99.9,,0.4,100.3,0.8,262.5,55.0,64.3,0.0,64.3,141.1,2.0,143.1
,Aug,141.1,2.0,143.1,94.4,,0.3,94.7,0.7,238.5,36.3,56.4,0.0,56.4,144.2,1.6,145.9
,Sep,144.2,1.6,145.9,92.1,,0.4,92.5,0.6,239.0,39.4,79.7,0.0,79.7,118.7,1.2,119.9
,Oct,118.7,1.2,119.9,101.3,,0.3,101.6,1.1,222.6,33.4,65.0,0.0,65.0,123.0,1.2,124.1
,Nov,123.0,1.2,124.1,98.7,,0.4,99.1,1.5,224.7,38.7,55.1,0.0,55.1,130.0,0.9,130.9
,Dec,130.0,0.9,130.9,122.4,,0.4,122.9,0.7,254.5,68.8,33.7,0.0,33.7,150.9,1.2,152.1
2000,Jan,150.9,1.2,152.1,134.3,,0.5,134.8,1.0,287.9,60.3,47.5,3.8,51.3,175.3,0.9,176.2
,Feb,175.3,0.9,176.2,131.5,,0.4,131.9,0.6,308.7,63.5,39.8,6.3,46.1,198.1,1.0,199.1
,Mar,198.1,1.0,199.1,139.4,,0.4,139.8,0.8,339.7,76.5,65.3,6.7,72.0,190.2,1.0,191.2
,Apr,190.2,1.0,191.2,145.7,,0.5,146.1,0.3,337.6,75.0,26.2,3.8,30.0,231.5,1.0,232.5
,May,231.5,1.0,232.5,137.9,,0.5,138.4,0.6,371.5,81.8,60.6,2.1,62.8,226.0,0.9,226.9
,Jun,226.0,0.9,226.9,127.0,,0.5,127.4,0.4,354.7,61.9,85.6,2.2,87.8,203.9,1.1,205.0
,Jul,203.9,1.1,205.0,120.7,,0.6,121.3,0.6,327.0,42.1,72.0,3.6,75.6,208.3,1.0,209.3
,Aug,208.3,1.0,209.3,105.5,,0.6,106.1,0.8,316.2,50.5,81.9,3.6,85.5,179.0,1.2,180.2
,Sep,179.0,1.2,180.2,87.9,,0.4,88.3,0.3,268.8,40.1,69.2,4.1,73.3,154.4,0.9,155.4
,Oct,154.4,0.9,155.4,101.0,,0.3,101.3,0.1,256.8,50.4,57.3,2.7,60.0,145.7,0.7,146.4
,Nov,145.7,0.7,146.4,99.5,,0.4,99.8,0.4,246.7,45.5,64.2,3.1,67.3,133.3,0.5,133.9
,Dec,133.3,0.5,133.9,121.4,,0.5,121.9,0.7,256.5,44.8,62.8,1.9,64.7,146.3,0.6,146.9
2001,Jan,146.3,0.6,146.9,118.3,,0.5,118.8,0.1,265.8,70.6,44.4,3.7,48.1,146.3,0.9,147.2
,Feb,146.3,0.9,147.2,119.1,,0.3,119.4,0.1,266.7,50.9,73.6,3.3,76.9,137.8,1.1,138.9
,Mar,137.8,1.1,138.9,121.1,,0.5,121.5,0.3,260.7,66.9,65.3,3.7,69.0,123.5,1.4,124.9
,Apr,123.5,1.4,124.9,131.7,,0.4,132.1,0.3,257.3,48.5,74.1,6.1,80.2,127.1,1.4,128.5
,May,127.1,1.4,128.5,140.4,,0.5,140.9,0.6,270.0,51.2,76.0,7.6,83.6,134.0,1.1,135.2
,Jun,134.0,1.1,135.2,131.5,,0.7,132.2,0.6,267.9,34.8,60.6,3.8,64.5,166.7,2.0,168.7
,Jul,166.7,2.0,168.7,117.5,,0.4,117.9,0.6,287.2,39.2,95.9,3.4,99.2,147.2,1.5,148.7
,Aug,147.2,1.5,148.7,96.1,,0.6,96.7,0.2,245.6,14.9,113.2,7.3,120.6,109.0,1.2,110.1
,Sep,109.0,1.2,110.1,94.4,,0.4,94.8,0.1,205.0,7.5,87.1,7.4,94.5,101.9,1.1,103.0
,Oct,101.9,1.1,103.0,105.8,,0.4,106.2,0.3,209.5,16.2,82.0,8.1,90.2,102.2,1.0,103.1
,Nov,102.2,1.0,103.1,107.2,,0.3,107.5,0.7,211.4,50.7,49.2,8.0,57.2,102.8,0.6,103.4
,Dec,102.8,0.6,103.4,130.8,,0.5,131.3,2.7,237.4,44.4,59.3,8.5,67.7,124.5,0.8,125.2
2002,Jan,124.5,0.8,125.2,128.7,,0.7,129.4,0.5,255.1,66.7,87.9,0.0,87.9,99.2,1.3,100.5
,Feb,99.2,1.3,100.5,127.7,,0.9,128.6,1.3,230.3,81.6,23.8,0.0,23.8,123.5,1.3,124.9
,Mar,123.5,1.3,124.9,153.1,,0.8,153.8,0.2,278.9,85.7,56.0,0.0,56.0,135.0,2.3,137.2
,Apr,135.0,2.3,137.2,164.2,,0.5,164.7,0.4,302.3,98.2,65.7,0.1,65.9,136.2,2.1,138.3
,May,136.2,2.1,138.3,163.4,,0.8,164.1,1.5,304.0,114.7,48.0,0.1,48.1,138.8,2.5,141.2
,Jun,138.8,2.5,141.2,153.0,,0.6,153.6,1.1,296.0,86.9,61.9,0.1,62.0,143.9,3.2,147.0
,Jul,143.9,3.2,147.0,129.1,,0.8,130.0,3.2,280.2,84.7,71.1,0.1,71.1,121.6,2.8,124.4
,Aug,121.6,2.8,124.4,120.9,,0.6,121.5,1.8,247.7,47.8,104.4,0.1,104.5,93.0,2.4,95.3
,Sep,93.0,2.4,95.3,102.3,,0.5,102.8,1.1,199.2,39.8,84.5,0.1,84.5,72.8,2.1,74.9
,Oct,72.8,2.1,74.9,108.9,,0.5,109.4,0.7,185.0,19.6,93.8,0.1,93.9,69.8,1.7,71.5
,Nov,69.8,1.7,71.5,105.2,,0.4,105.6,0.1,177.2,48.8,52.5,0.2,52.6,73.7,2.0,75.7
,Dec,73.7,2.0,75.7,139.5,,0.4,140.0,0.0,215.7,47.3,67.4,0.1,67.5,98.9,2.0,100.9
2003,Jan,98.9,2.0,100.9,141.3,,0.5,141.8,1.1,243.8,86.0,53.3,0.3,53.7,102.4,1.8,104.2
,Feb,102.4,1.8,104.2,137.2,,0.4,137.7,0.0,241.9,85.1,39.5,0.2,39.7,114.4,2.7,117.1
,Mar,114.4,2.7,117.1,155.4,,0.4,155.8,0.6,273.6,70.9,77.0,0.2,77.2,123.4,2.1,125.5
,Apr,123.4,2.1,125.5,160.0,,0.5,160.5,0.1,286.1,101.1,53.4,0.3,53.7,129.6,1.7,131.2
,May,129.6,1.7,131.2,163.9,,0.5,164.4,0.0,295.6,77.6,87.9,0.2,88.1,127.9,1.9,129.9
,Jun,127.9,1.9,129.9,140.0,,0.5,140.5,0.1,270.4,63.2,84.7,0.6,85.3,120.2,1.7,121.9
,Jul,120.2,1.7,121.9,127.9,,0.8,128.8,0.0,250.7,55.8,106.2,0.6,106.8,86.1,2.0,88.1
,Aug,86.1,2.0,88.1,107.1,,0.5,107.5,0.1,195.7,33.0,87.8,0.6,88.4,72.3,2.0,74.3
,Sep,72.3,2.0,74.3,96.8,,0.5,97.2,0.0,171.5,31.0,75.9,0.5,76.4,62.3,1.9,64.1
,Oct,62.3,1.9,64.1,106.9,,0.5,107.4,0.0,171.5,11.3,88.0,0.4,88.4,70.1,1.8,71.9
,Nov,70.1,1.8,71.9,110.9,,0.3,111.2,0.1,183.2,7.5,86.5,0.6,87.0,87.1,1.5,88.7
,Dec,87.1,1.5,88.7,141.7,,0.4,142.1,0.1,230.9,41.7,76.6,0.5,77.0,110.8,1.3,112.1
2004,Jan,110.8,1.3,112.1,129.3,,0.5,129.8,0.1,241.9,74.2,62.3,0.0,62.3,104.2,1.2,105.4
,Feb,104.2,1.2,105.4,115.8,,0.3,116.1,0.0,221.5,34.6,89.6,0.0,89.6,96.0,1.3,97.3
,Mar,96.0,1.3,97.3,118.0,,0.3,118.3,0.0,215.7,-45.8,177.7,2.3,180.0,80.3,1.1,81.5
,Apr,80.3,1.1,81.5,134.0,,0.4,134.4,0.1,216.0,-7.8,105.6,13.0,118.5,104.2,1.0,105.3
,May,104.2,1.0,105.3,151.3,,0.5,151.8,0.0,257.1,3.5,115.4,9.5,124.9,127.3,1.5,128.8
,Jun,127.3,1.5,128.8,144.1,,0.5,144.6,0.1,273.4,17.8,94.4,13.3,107.6,146.6,1.4,148.0
,Jul,146.6,1.4,148.0,134.6,,0.6,135.1,0.1,283.2,7.2,94.8,17.6,112.4,161.8,1.8,163.6
,Aug,161.8,1.8,163.6,113.6,,0.5,114.1,0.2,277.9,25.4,68.1,32.1,100.1,150.7,1.7,152.4
,Sep,150.7,1.7,152.4,93.9,,0.3,94.3,0.1,246.8,-2.0,77.8,41.8,119.6,127.6,1.7,129.3
,Oct,127.6,1.7,129.3,94.8,,0.4,95.2,0.1,224.5,10.7,60.8,35.7,96.5,115.8,1.4,117.3
,Nov,115.8,1.4,117.3,83.8,,0.6,84.4,0.0,201.7,3.4,63.3,39.0,102.3,94.8,1.2,96.0
,Dec,94.8,1.2,96.0,99.2,,0.4,99.5,0.4,196.0,-15.6,54.3,57.9,112.2,98.2,1.2,99.4
2005,Jan,98.2,1.2,99.4,93.9,24.9,0.4,119.2,0.0,218.6,-11.0,97.3,47.9,145.3,83.1,1.2,84.4
,Feb,83.1,1.2,84.4,98.2,26.8,0.4,125.5,0.0,209.8,-12.7,78.1,60.0,138.1,83.5,0.9,84.4
,Mar,83.5,0.9,84.4,111.0,28.1,0.4,139.5,0.5,224.5,-5.5,80.1,63.5,143.6,85.6,0.8,86.4
,Apr,85.6,0.8,86.4,113.3,25.4,0.3,139.0,0.2,225.5,-14.8,92.0,38.3,130.3,109.2,0.8,110.0
,May,109.2,0.8,110.0,126.3,21.7,0.7,148.7,0.1,258.8,-6.0,99.6,50.7,150.4,113.5,1.0,114.4
,Jun,113.5,1.0,114.4,126.2,25.6,0.6,152.4,0.5,267.3,-8.3,123.4,32.6,155.9,118.6,1.0,119.6
,Jul,118.6,1.0,119.6,110.7,32.0,0.5,143.2,0.7,263.6,-2.4,111.6,29.8,141.4,123.4,1.2,124.6
,Aug,123.4,1.2,124.6,88.3,34.9,0.5,123.7,0.2,248.5,0.0,89.6,43.6,133.2,114.4,1.0,115.3
,Sep,114.4,1.0,115.3,72.1,32.4,0.5,105.1,0.2,220.7,-18.4,109.6,32.7,142.3,95.8,0.9,96.8
,Oct,95.8,0.9,96.8,74.7,30.3,0.4,105.4,0.1,202.3,-1.2,83.0,30.7,113.7,88.8,1.0,89.8
,Nov,88.8,1.0,89.8,90.2,13.1,0.3,103.6,0.0,193.4,-0.4,72.8,28.4,101.1,91.9,0.8,92.7
,Dec,91.9,0.8,92.7,105.4,27.5,0.5,133.4,0.1,226.2,-0.4,81.5,28.5,110.0,115.8,0.8,116.6
2006,Jan,115.8,0.8,116.6,112.6,29.3,0.5,142.4,0.0,259.1,0.0,106.9,30.3,137.2,121.0,0.8,121.9
,Feb,121.0,0.8,121.9,119.5,25.6,0.4,145.5,0.0,267.4,0.0,95.5,50.2,145.6,121.0,0.7,121.8
,Mar,121.0,0.7,121.8,130.6,20.0,0.6,151.1,0.0,272.9,1.0,92.9,51.4,144.3,126.7,0.9,127.6
,Apr,126.7,0.9,127.6,132.1,12.4,0.5,145.0,0.1,272.7,18.0,37.8,58.5,96.2,157.2,1.3,158.5
,May,157.2,1.3,158.5,134.7,18.1,0.6,153.5,0.0,312.0,26.0,70.8,66.8,137.6,146.6,1.7,148.3
,Jun,146.6,1.7,148.3,117.8,22.4,0.6,140.7,0.1,289.2,18.0,94.9,62.8,157.7,111.9,1.6,113.5
,Jul,111.9,1.6,113.5,90.1,29.3,0.6,120.1,0.0,233.6,1.0,80.0,67.2,147.2,83.9,1.5,85.4
,Aug,83.9,1.5,85.4,74.9,24.1,0.4,99.4,0.0,184.8,0.0,67.0,60.3,127.2,56.4,1.1,57.6
,Sep,56.4,1.1,57.6,64.9,21.3,0.3,86.6,0.0,144.2,0.0,49.2,53.7,102.8,40.8,0.5,41.3
,Oct,40.8,0.5,41.3,71.6,27.4,0.3,99.3,0.0,140.7,0.0,46.1,58.3,104.4,35.6,0.6,36.3
,Nov,35.6,0.6,36.3,78.9,25.0,0.4,104.3,0.1,140.7,0.0,64.0,35.1,99.1,40.9,0.7,41.6
,Dec,40.9,0.7,41.6,115.8,15.4,0.8,131.9,1.1,174.6,0.0,56.5,37.4,93.8,79.8,0.9,80.7
2007,Jan,79.8,0.9,80.7,108.0,9.2,0.3,117.5,0.2,198.5,0.0,83.1,36.7,119.8,78.0,0.7,78.7
,Feb,78.0,0.7,78.7,96.8,7.8,0.3,104.9,0.1,183.7,0.0,61.5,48.4,109.9,72.7,1.0,73.7
,Mar,72.7,1.0,73.7,112.9,8.6,0.3,121.8,0.4,195.9,0.0,71.2,48.1,119.3,75.4,1.2,76.6
,Apr,75.4,1.2,76.6,123.0,15.6,0.4,139.0,0.1,215.7,0.0,77.2,43.6,120.8,94.1,0.8,94.9
,May,94.1,0.8,94.9,115.4,13.0,0.4,128.8,0.0,223.8,0.0,74.0,54.9,128.9,93.9,1.0,94.9
,Jun,93.9,1.0,94.9,118.2,16.4,0.5,135.1,0.0,230.0,0.0,72.2,50.9,123.1,105.7,1.1,106.9
,Jul,105.7,1.1,106.9,122.2,19.2,0.7,142.1,0.0,249.0,0.0,75.2,43.9,119.2,128.3,1.5,129.8
,Aug,128.3,1.5,129.8,103.0,17.9,0.3,121.2,0.6,251.6,0.0,70.9,33.9,104.8,145.2,1.6,146.8
,Sep,145.2,1.6,146.8,89.8,14.9,0.4,105.1,0.1,252.0,0.0,78.0,51.0,129.0,121.6,1.4,123.0
,Oct,121.6,1.4,123.0,100.2,21.4,0.4,122.1,0.0,245.2,0.0,72.2,44.1,116.4,127.3,1.5,128.8
,Nov,127.3,1.5,128.8,100.0,19.7,0.4,120.1,0.0,248.8,0.0,46.0,62.6,108.6,139.2,1.0,140.2
,Dec,139.2,1.0,140.2,108.9,36.9,0.4,146.3,0.5,287.0,0.0,69.8,50.2,120.1,165.8,1.1,166.9
2008,Jan,165.8,1.1,166.9,113.0,45.6,0.6,159.2,0.0,326.1,0.0,85.4,71.2,156.5,168.2,1.4,169.6
,Feb,168.2,1.4,169.6,121.1,33.8,0.7,155.6,0.0,325.2,0.0,86.3,82.1,168.5,155.3,1.5,156.8
,Mar,155.3,1.5,156.8,137.0,34.4,0.8,172.2,0.6,329.5,0.0,88.1,77.4,165.6,162.1,1.8,163.9
,Apr,162.1,1.8,163.9,134.9,36.1,0.8,171.8,0.1,335.8,0.0,107.8,82.4,190.3,143.5,2.1,145.5
,May,143.5,2.1,145.5,131.6,45.5,0.6,177.7,0.1,323.3,0.0,87.1,102.4,189.4,131.6,2.3,133.9
,Jun,131.6,2.3,133.9,136.0,33.9,0.6,170.5,0.0,304.4,0.0,63.5,101.0,164.5,137.8,2.1,139.9
,Jul,137.8,2.1,139.9,134.9,27.1,0.7,162.7,0.1,302.7,0.0,78.4,67.7,146.0,154.6,2.1,156.7
,Aug,154.6,2.1,156.7,115.2,26.6,1.0,142.9,0.0,299.5,0.0,45.9,79.6,125.5,171.6,2.4,174.0
,Sep,171.6,2.4,174.0,85.5,38.9,0.7,125.1,0.0,299.1,0.0,70.7,64.4,135.1,161.5,2.6,164.0
,Oct,161.5,2.6,164.0,121.1,17.6,0.5,139.2,0.1,303.3,35.2,42.8,54.3,97.2,168.9,2.0,170.9
,Nov,168.9,2.0,170.9,133.7,16.5,0.5,150.7,0.0,321.6,37.6,60.2,35.2,95.4,186.8,1.8,188.6
,Dec,186.8,1.8,188.6,155.3,17.8,0.6,173.7,0.0,362.3,37.9,80.0,44.6,124.6,198.1,1.7,199.8
2009,Jan,198.1,1.7,199.8,158.5,17.7,0.8,176.9,0.0,376.7,36.6,87.1,48.4,135.5,202.7,1.9,204.6
,Feb,202.7,1.9,204.6,126.4,22.7,0.8,149.8,0.0,354.4,36.0,97.0,27.6,124.6,192.2,1.6,193.8
,Mar,192.2,1.6,193.8,137.8,24.4,0.9,163.2,0.2,357.1,21.7,109.3,34.7,144.0,189.7,1.8,191.5
,Apr,189.7,1.8,191.5,142.0,24.6,1.3,168.0,0.1,359.5,25.6,111.9,39.9,151.9,179.8,2.2,182.0
